evidence_id,source_repository,source_commit,source_path,attestation_path,public_path,source_sha256,source_size,public_sha256,public_size,evidence_type,result_state,primary_technology,technology_relationships,logical_destination,publication_classification,supported_claims,collection_context
"home-lab-attested-00afb908f858dfb5","fontenotjeremy71-hub/jeremy-homelab-ops","65899f08cb8d19207c5edad7723368ed04f1f1c4","evidence/read-only-baseline-20260625-201313/read-only-baseline-summary-20260625-201313.md","content/home-lab/source-attestations/operations-evidence-core.json","","3e0764f5be7fc4914579b5c348875a404293eb3791c54d6734d14653e0f28a34","4946","","","reports","directly-proven","environment","environment","content/home-lab/environment/evidence/reports/operations-evidence-core/evidence/read-only-baseline-20260625-201313/read-only-baseline-summary-20260625-201313.md","source-reference-only","home-lab-environment-inventory","Operational or original-portfolio source integrity is attested by a reviewed manifest. The artifact remains in its authoritative source repository and is represented here without copying sensitive or duplicative source bytes."
"home-lab-attested-0185e9c6bdba4737","fontenotjeremy71-hub/jeremy-homelab-ops","65899f08cb8d19207c5edad7723368ed04f1f1c4","evidence/read-only-baseline-20260625-201707/read-only-baseline-summary-20260625-201707.md","content/home-lab/source-attestations/operations-evidence-core.json","","98eba9b312dbbb1ea03454f646ec7f5dcf3a2f22b2776eac81bf86466aba346f","3964","","","reports","directly-proven","environment","environment","content/home-lab/environment/evidence/reports/operations-evidence-core/evidence/read-only-baseline-20260625-201707/read-only-baseline-summary-20260625-201707.md","source-reference-only","home-lab-environment-inventory","Operational or original-portfolio source integrity is attested by a reviewed manifest. The artifact remains in its authoritative source repository and is represented here without copying sensitive or duplicative source bytes."
"home-lab-attested-019cbded4db425a4","fontenotjeremy71-hub/jeremy-homelab-ops","65899f08cb8d19207c5edad7723368ed04f1f1c4","evidence/infrastructure-validation/2026-07-10/11-results/rto-rpo-analysis.md","content/home-lab/source-attestations/operations-infra-results.json","","e89cd0ee8c6b85a220bce2e2776c77caf3730195e9a18fa1f2b74ae7237fb57f","649","","","validation","directly-proven","environment","environment","content/home-lab/environment/evidence/validation/operations-infra-results/evidence/infrastructure-validation/2026-07-10/11-results/rto-rpo-analysis.md","source-reference-only","home-lab-environment-inventory","Operational or original-portfolio source integrity is attested by a reviewed manifest. The artifact remains in its authoritative source repository and is represented here without copying sensitive or duplicative source bytes."
"home-lab-attested-03a0ba5438b5496f","fontenotjeremy71-hub/jeremy-homelab-ops","65899f08cb8d19207c5edad7723368ed04f1f1c4","evidence/read-only-baseline-20260625-201707/connectivity-results-20260625-201707.json","content/home-lab/source-attestations/operations-evidence-core.json","","5643563252a0a4bcc5ba47eb852f0f41d8e9b4b539b6bbbb310778a7ffa9d939","3148","","","validation","supported-with-limitations","networking","networking","content/home-lab/networking/evidence/validation/operations-evidence-core/evidence/read-only-baseline-20260625-201707/connectivity-results-20260625-201707.json","source-reference-only","home-lab-networking-validation","Operational or original-portfolio source integrity is attested by a reviewed manifest. The artifact remains in its authoritative source repository and is represented here without copying sensitive or duplicative source bytes."
"home-lab-attested-043b9877a1d942c9","fontenotjeremy71-hub/jeremy-homelab-ops","65899f08cb8d19207c5edad7723368ed04f1f1c4","inventories/linux01-inventory-20260626-084312.json","content/home-lab/source-attestations/operations-inventories.json","","75f82af4882fa9c869c78c1ac127c5d4f37c5cb62f4e8894361a352695efc40d","13583","","","inventories","supported-with-limitations","linux","linux|environment","content/home-lab/linux/evidence/inventories/operations-inventories/inventories/linux01-inventory-20260626-084312.json","source-reference-only","home-lab-linux-administration|home-lab-environment-inventory","Operational or original-portfolio source integrity is attested by a reviewed manifest. The artifact remains in its authoritative source repository and is represented here without copying sensitive or duplicative source bytes."
"home-lab-attested-04a3fec8e6ffcde8","fontenotjeremy71-hub/jeremy-homelab-ops","65899f08cb8d19207c5edad7723368ed04f1f1c4","scripts/linux/Get-Linux01SssdDiagnostic.sh","content/home-lab/source-attestations/operations-scripts.json","","0751d10625a8114a711786b654ed17c8c969b326c7e74e84e4109e052585df1e","6469","","","scripts","supported-with-limitations","linux","linux|automation","content/home-lab/linux/scripts/operations-scripts/scripts/linux/Get-Linux01SssdDiagnostic.sh","source-reference-only","home-lab-linux-administration|home-lab-evidence-automation","Operational or original-portfolio source integrity is attested by a reviewed manifest. The artifact remains in its authoritative source repository and is represented here without copying sensitive or duplicative source bytes."
"home-lab-attested-05fe2675b6b90cf0","fontenotjeremy71-hub/jeremy-homelab-ops","65899f08cb8d19207c5edad7723368ed04f1f1c4","evidence/infrastructure-validation/2026-07-10/08-restore-validation/proxmox-dc01-rerun-source-archive-2026-07-11.png","content/home-lab/source-attestations/operations-restore-dc01.json","","1abeee4982ce24f7c3f5c9b95ea07ff5832aa93d849649f7b57588ffe6b55f11","290256","","","screenshots","supported-with-limitations","backup-recovery","backup-recovery|active-directory|proxmox","content/home-lab/backup-recovery/evidence/screenshots/operations-restore-dc01/evidence/infrastructure-validation/2026-07-10/08-restore-validation/proxmox-dc01-rerun-source-archive-2026-07-11.png","source-reference-only","home-lab-backup-and-isolated-restore|home-lab-active-directory-administration|home-lab-proxmox-administration","Operational or original-portfolio source integrity is attested by a reviewed manifest. The artifact remains in its authoritative source repository and is represented here without copying sensitive or duplicative source bytes."
"home-lab-attested-0691b90e147426c3","fontenotjeremy71-hub/jeremy-homelab-ops","65899f08cb8d19207c5edad7723368ed04f1f1c4","evidence/infrastructure-validation/2026-07-10/08-restore-validation/ws01-isolated-restore-review.md","content/home-lab/source-attestations/operations-restore-ws01.json","","29311989c51d4051ac597bb6a94edf2a9484c8645d781f4300c93d87e2d39de9","4767","","","validation","supported-with-limitations","backup-recovery","backup-recovery|windows-clients","content/home-lab/backup-recovery/evidence/validation/operations-restore-ws01/evidence/infrastructure-validation/2026-07-10/08-restore-validation/ws01-isolated-restore-review.md","source-reference-only","home-lab-backup-and-isolated-restore|home-lab-windows-client-administration","Operational or original-portfolio source integrity is attested by a reviewed manifest. The artifact remains in its authoritative source repository and is represented here without copying sensitive or duplicative source bytes."
"home-lab-attested-07fb52127dc2d878","fontenotjeremy71-hub/jeremy-homelab-ops","65899f08cb8d19207c5edad7723368ed04f1f1c4","evidence/infrastructure-validation/2026-07-10/08-restore-validation/proxmox-ws01-restore-config-metadata-2026-07-11.png","content/home-lab/source-attestations/operations-restore-ws01.json","","c3ec7bc3a37dc802d239714a42791a2c2060dbf8442592c585f05878fe5b31ef","313786","","","screenshots","supported-with-limitations","backup-recovery","backup-recovery|windows-clients|proxmox","content/home-lab/backup-recovery/evidence/screenshots/operations-restore-ws01/evidence/infrastructure-validation/2026-07-10/08-restore-validation/proxmox-ws01-restore-config-metadata-2026-07-11.png","source-reference-only","home-lab-backup-and-isolated-restore|home-lab-windows-client-administration|home-lab-proxmox-administration","Operational or original-portfolio source integrity is attested by a reviewed manifest. The artifact remains in its authoritative source repository and is represented here without copying sensitive or duplicative source bytes."
"home-lab-attested-08078bc464850f59","fontenotjeremy71-hub/jeremy-homelab-ops","65899f08cb8d19207c5edad7723368ed04f1f1c4","evidence/infrastructure-validation/2026-07-10/08-restore-validation/proxmox-dc01-isolated-restore-disk-validation-2026-07-11.png","content/home-lab/source-attestations/operations-restore-dc01.json","","cd0ebc0e8a477d3dd19895a430572231d7728c4ad2f38ea9984d22b765685b89","129797","","","screenshots","supported-with-limitations","backup-recovery","backup-recovery|active-directory|proxmox","content/home-lab/backup-recovery/evidence/screenshots/operations-restore-dc01/evidence/infrastructure-validation/2026-07-10/08-restore-validation/proxmox-dc01-isolated-restore-disk-validation-2026-07-11.png","source-reference-only","home-lab-backup-and-isolated-restore|home-lab-active-directory-administration|home-lab-proxmox-administration","Operational or original-portfolio source integrity is attested by a reviewed manifest. The artifact remains in its authoritative source repository and is represented here without copying sensitive or duplicative source bytes."
"home-lab-attested-080a2d379fa1cdc6","fontenotjeremy71-hub/jeremy-homelab-ops","65899f08cb8d19207c5edad7723368ed04f1f1c4","evidence/repository-baseline-20260625-164841.txt","content/home-lab/source-attestations/operations-evidence-core.json","","b8551ee415366d4c929ef0013fe2a81a88575c0558bd1e0a429571027b896c01","1533","","","configuration","directly-proven","environment","environment","content/home-lab/environment/evidence/configuration/operations-evidence-core/evidence/repository-baseline-20260625-164841.txt","source-reference-only","home-lab-environment-inventory","Operational or original-portfolio source integrity is attested by a reviewed manifest. The artifact remains in its authoritative source repository and is represented here without copying sensitive or duplicative source bytes."
